"Tag.number","Latitude","Longitude","Carapace.length","Size.at.release","Size.at.recapture","Size","Release.location","Sex","Labels"
"195869",-29.54015,114.92856,54.2,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Male","Tag 195056. At liberty for 1 days before being caught again on 2018-07-07 (58.6 mm).<br> <br>Tag 195653. At liberty for 1 days before being caught again on 2018-07-07 (60.4 mm).<br> <br>Tag K3102. At liberty for 1 days before being caught again on 2018-07-07 (89.6 mm).<br> <br>Tag K3181. At liberty for 1 days before being caught again on 2018-07-07 (72.4 mm).<br> <br>Tag 195869. A Male lobster, first caught on 2018-07-07 (54.2 mm)."
"K2835",-29.540125,114.950885,79.6,"Legal","Legal","Legal","Cliff Head","Male","Tag K2835. A Male lobster, first caught on 2018-06-15 (79.6 mm)."
"K2728",-29.54010301,114.9285602,86.1,"Legal","Legal","Legal","Golden Ridge","Male","Tag K2728. A Male lobster, first caught on 2018-06-14 (86.1 mm).<br> <br>Tag 195056. A Female lobster, first caught on 2018-06-14 (57.8 mm).<br> <br>Tag 191842. A Male lobster, first caught on 2018-06-14 (55.4 mm).<br> <br>Tag 191566. A Female lobster, first caught on 2018-06-14 (49.7 mm).<br> <br>Tag 191533. A Male lobster, first caught on 2018-06-14 (56.9 mm)."
"195056",-29.54010301,114.9285602,57.8,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag K2728. A Male lobster, first caught on 2018-06-14 (86.1 mm).<br> <br>Tag 195056. A Female lobster, first caught on 2018-06-14 (57.8 mm).<br> <br>Tag 191842. A Male lobster, first caught on 2018-06-14 (55.4 mm).<br> <br>Tag 191566. A Female lobster, first caught on 2018-06-14 (49.7 mm).<br> <br>Tag 191533. A Male lobster, first caught on 2018-06-14 (56.9 mm)."
"191842",-29.54010301,114.9285602,55.4,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Male","Tag K2728. A Male lobster, first caught on 2018-06-14 (86.1 mm).<br> <br>Tag 195056. A Female lobster, first caught on 2018-06-14 (57.8 mm).<br> <br>Tag 191842. A Male lobster, first caught on 2018-06-14 (55.4 mm).<br> <br>Tag 191566. A Female lobster, first caught on 2018-06-14 (49.7 mm).<br> <br>Tag 191533. A Male lobster, first caught on 2018-06-14 (56.9 mm)."
"191566",-29.54010301,114.9285602,49.7,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag K2728. A Male lobster, first caught on 2018-06-14 (86.1 mm).<br> <br>Tag 195056. A Female lobster, first caught on 2018-06-14 (57.8 mm).<br> <br>Tag 191842. A Male lobster, first caught on 2018-06-14 (55.4 mm).<br> <br>Tag 191566. A Female lobster, first caught on 2018-06-14 (49.7 mm).<br> <br>Tag 191533. A Male lobster, first caught on 2018-06-14 (56.9 mm)."
"191533",-29.54010301,114.9285602,56.9,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Male","Tag K2728. A Male lobster, first caught on 2018-06-14 (86.1 mm).<br> <br>Tag 195056. A Female lobster, first caught on 2018-06-14 (57.8 mm).<br> <br>Tag 191842. A Male lobster, first caught on 2018-06-14 (55.4 mm).<br> <br>Tag 191566. A Female lobster, first caught on 2018-06-14 (49.7 mm).<br> <br>Tag 191533. A Male lobster, first caught on 2018-06-14 (56.9 mm)."
"195056",-29.5401,114.92846,57.6,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 195056. At liberty for 22 days before being caught again on 2018-07-06 (57.6 mm).<br> <br>Tag 195299. At liberty for 21 days before being caught again on 2018-07-06 (55.2 mm).<br> <br>Tag K3102. A Male lobster, first caught on 2018-07-06 (90 mm).<br> <br>Tag K3188. A Male lobster, first caught on 2018-07-06 (84 mm).<br> <br>Tag 195653. A Female lobster, first caught on 2018-07-06 (59.9 mm).<br> <br>Tag K3181. A Female lobster, first caught on 2018-07-06 (72.1 mm)."
"195056",-29.5401,114.9284,61.6,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 195056. At liberty for 69 days before being caught again on 2018-09-14 (61.6 mm).<br> <br>Tag 195869. At liberty for 69 days before being caught again on 2018-09-14 (54.8 mm).<br> <br>Tag K3188. At liberty for 70 days before being caught again on 2018-09-14 (85 mm)."
"195299",-29.5401,114.92846,55.2,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag 195056. At liberty for 22 days before being caught again on 2018-07-06 (57.6 mm).<br> <br>Tag 195299. At liberty for 21 days before being caught again on 2018-07-06 (55.2 mm).<br> <br>Tag K3102. A Male lobster, first caught on 2018-07-06 (90 mm).<br> <br>Tag K3188. A Male lobster, first caught on 2018-07-06 (84 mm).<br> <br>Tag 195653. A Female lobster, first caught on 2018-07-06 (59.9 mm).<br> <br>Tag K3181. A Female lobster, first caught on 2018-07-06 (72.1 mm)."
