"Tag.number","Latitude","Longitude","Carapace.length","Size.at.release","Size.at.recapture","Size","Release.location","Sex","Labels"
"195164",-29.34469151,114.8738654,42.5,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191691. At liberty for 1 days before being caught again on 2018-06-14 (46.6 mm).<br> <br>Tag 191698. At liberty for 1 days before being caught again on 2018-06-14 (53.6 mm).<br> <br>Tag 191699. At liberty for 1 days before being caught again on 2018-06-14 (46 mm).<br> <br>Tag 191710. At liberty for 1 days before being caught again on 2018-06-14 (62.1 mm).<br> <br>Tag 191731. At liberty for 1 days before being caught again on 2018-06-14 (51.4 mm).<br> <br>Tag 191787. At liberty for 1 days before being caught again on 2018-06-14 (67.7 mm).<br> <br>Tag 195057. A Female lobster, first caught on 2018-06-14 (46.7 mm).<br> <br>Tag K2694. A Female lobster, first caught on 2018-06-14 (63.5 mm).<br> <br>Tag K2692. A Female lobster, first caught on 2018-06-14 (70.5 mm).<br> <br>Tag 195054. A Male lobster, first caught on 2018-06-14 (64.6 mm).<br> <br>Tag K2690. A Female lobster, first caught on 2018-06-14 (68 mm).<br> <br>Tag 195146. A Male lobster, first caught on 2018-06-14 (59.2 mm).<br> <br>Tag 195145. A Female lobster, first caught on 2018-06-14 (63 mm).<br> <br>Tag 195142. A Male lobster, first caught on 2018-06-14 (60.7 mm).<br> <br>Tag 195141. A Female lobster, first caught on 2018-06-14 (52 mm).<br> <br>Tag 195133. A Female lobster, first caught on 2018-06-14 (57.9 mm).<br> <br>Tag 195132. A Male lobster, first caught on 2018-06-14 (62.4 mm).<br> <br>Tag 195131. A Female lobster, first caught on 2018-06-14 (55 mm).<br> <br>Tag 195130. A Male lobster, first caught on 2018-06-14 (66.8 mm).<br> <br>Tag 195129. A Male lobster, first caught on 2018-06-14 (61.5 mm).<br> <br>Tag 195126. A Female lobster, first caught on 2018-06-14 (58.1 mm).<br> <br>Tag 195125. A Male lobster, first caught on 2018-06-14 (64 mm).<br> <br>Tag 195123. A Male lobster, first caught on 2018-06-14 (56.3 mm).<br> <br>Tag 195121. A Female lobster, first caught on 2018-06-14 (45.9 mm).<br> <br>Tag K2685. A Male lobster, first caught on 2018-06-14 (72.6 mm).<br> <br>Tag K2684. A Female lobster, first caught on 2018-06-14 (64.1 mm).<br> <br>Tag 195118. A Female lobster, first caught on 2018-06-14 (46 mm).<br> <br>Tag 195117. A Male lobster, first caught on 2018-06-14 (63 mm).<br> <br>Tag K2682. A Male lobster, first caught on 2018-06-14 (68.6 mm).<br> <br>Tag 195111. A Male lobster, first caught on 2018-06-14 (65 mm).<br> <br>Tag 195110. A Male lobster, first caught on 2018-06-14 (58.4 mm).<br> <br>Tag 195108. A Male lobster, first caught on 2018-06-14 (66.7 mm).<br> <br>Tag 195106. A Male lobster, first caught on 2018-06-14 (63.6 mm).<br> <br>Tag 195103. A Male lobster, first caught on 2018-06-14 (60.1 mm).<br> <br>Tag 195101. A Female lobster, first caught on 2018-06-14 (63.2 mm).<br> <br>Tag 195151. A Female lobster, first caught on 2018-06-14 (54.8 mm).<br> <br>Tag 195152. A Male lobster, first caught on 2018-06-14 (62.5 mm).<br> <br>Tag 195153. A Female lobster, first caught on 2018-06-14 (50.1 mm).<br> <br>Tag 195154. A Male lobster, first caught on 2018-06-14 (65 mm).<br> <br>Tag 195157. A Female lobster, first caught on 2018-06-14 (41.8 mm).<br> <br>Tag 195160. A Male lobster, first caught on 2018-06-14 (57.6 mm).<br> <br>Tag 195164. A Female lobster, first caught on 2018-06-14 (42.5 mm)."
"191776",-29.34457437,114.8747666,59.6,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191776. At liberty for 112 days before being caught again on 2018-12-05 (59.6 mm).<br> <br>Tag 195028. At liberty for 174 days before being caught again on 2018-12-05 (66.1 mm).<br> <br>Tag 195110. At liberty for 174 days before being caught again on 2018-12-05 (63.5 mm).<br> <br>Tag 195132. At liberty for 80 days before being caught again on 2018-12-05 (64.8 mm).<br> <br>Tag 195145. At liberty for 174 days before being caught again on 2018-12-05 (67.2 mm).<br> <br>Tag 195380. At liberty for 154 days before being caught again on 2018-12-05 (72.4 mm).<br> <br>Tag 195396. At liberty for 154 days before being caught again on 2018-12-05 (69.8 mm).<br> <br>Tag K2516. At liberty for 175 days before being caught again on 2018-12-05 (67.4 mm).<br> <br>Tag 198643. A Male lobster, first caught on 2018-12-05 (64.8 mm)."
"195028",-29.34457437,114.8747666,66.1,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191776. At liberty for 112 days before being caught again on 2018-12-05 (59.6 mm).<br> <br>Tag 195028. At liberty for 174 days before being caught again on 2018-12-05 (66.1 mm).<br> <br>Tag 195110. At liberty for 174 days before being caught again on 2018-12-05 (63.5 mm).<br> <br>Tag 195132. At liberty for 80 days before being caught again on 2018-12-05 (64.8 mm).<br> <br>Tag 195145. At liberty for 174 days before being caught again on 2018-12-05 (67.2 mm).<br> <br>Tag 195380. At liberty for 154 days before being caught again on 2018-12-05 (72.4 mm).<br> <br>Tag 195396. At liberty for 154 days before being caught again on 2018-12-05 (69.8 mm).<br> <br>Tag K2516. At liberty for 175 days before being caught again on 2018-12-05 (67.4 mm).<br> <br>Tag 198643. A Male lobster, first caught on 2018-12-05 (64.8 mm)."
"195110",-29.34457437,114.8747666,63.5,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191776. At liberty for 112 days before being caught again on 2018-12-05 (59.6 mm).<br> <br>Tag 195028. At liberty for 174 days before being caught again on 2018-12-05 (66.1 mm).<br> <br>Tag 195110. At liberty for 174 days before being caught again on 2018-12-05 (63.5 mm).<br> <br>Tag 195132. At liberty for 80 days before being caught again on 2018-12-05 (64.8 mm).<br> <br>Tag 195145. At liberty for 174 days before being caught again on 2018-12-05 (67.2 mm).<br> <br>Tag 195380. At liberty for 154 days before being caught again on 2018-12-05 (72.4 mm).<br> <br>Tag 195396. At liberty for 154 days before being caught again on 2018-12-05 (69.8 mm).<br> <br>Tag K2516. At liberty for 175 days before being caught again on 2018-12-05 (67.4 mm).<br> <br>Tag 198643. A Male lobster, first caught on 2018-12-05 (64.8 mm)."
"195132",-29.34457437,114.8747666,64.8,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191776. At liberty for 112 days before being caught again on 2018-12-05 (59.6 mm).<br> <br>Tag 195028. At liberty for 174 days before being caught again on 2018-12-05 (66.1 mm).<br> <br>Tag 195110. At liberty for 174 days before being caught again on 2018-12-05 (63.5 mm).<br> <br>Tag 195132. At liberty for 80 days before being caught again on 2018-12-05 (64.8 mm).<br> <br>Tag 195145. At liberty for 174 days before being caught again on 2018-12-05 (67.2 mm).<br> <br>Tag 195380. At liberty for 154 days before being caught again on 2018-12-05 (72.4 mm).<br> <br>Tag 195396. At liberty for 154 days before being caught again on 2018-12-05 (69.8 mm).<br> <br>Tag K2516. At liberty for 175 days before being caught again on 2018-12-05 (67.4 mm).<br> <br>Tag 198643. A Male lobster, first caught on 2018-12-05 (64.8 mm)."
"195145",-29.34457437,114.8747666,67.2,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191776. At liberty for 112 days before being caught again on 2018-12-05 (59.6 mm).<br> <br>Tag 195028. At liberty for 174 days before being caught again on 2018-12-05 (66.1 mm).<br> <br>Tag 195110. At liberty for 174 days before being caught again on 2018-12-05 (63.5 mm).<br> <br>Tag 195132. At liberty for 80 days before being caught again on 2018-12-05 (64.8 mm).<br> <br>Tag 195145. At liberty for 174 days before being caught again on 2018-12-05 (67.2 mm).<br> <br>Tag 195380. At liberty for 154 days before being caught again on 2018-12-05 (72.4 mm).<br> <br>Tag 195396. At liberty for 154 days before being caught again on 2018-12-05 (69.8 mm).<br> <br>Tag K2516. At liberty for 175 days before being caught again on 2018-12-05 (67.4 mm).<br> <br>Tag 198643. A Male lobster, first caught on 2018-12-05 (64.8 mm)."
"195380",-29.34457437,114.8747666,72.4,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag 191776. At liberty for 112 days before being caught again on 2018-12-05 (59.6 mm).<br> <br>Tag 195028. At liberty for 174 days before being caught again on 2018-12-05 (66.1 mm).<br> <br>Tag 195110. At liberty for 174 days before being caught again on 2018-12-05 (63.5 mm).<br> <br>Tag 195132. At liberty for 80 days before being caught again on 2018-12-05 (64.8 mm).<br> <br>Tag 195145. At liberty for 174 days before being caught again on 2018-12-05 (67.2 mm).<br> <br>Tag 195380. At liberty for 154 days before being caught again on 2018-12-05 (72.4 mm).<br> <br>Tag 195396. At liberty for 154 days before being caught again on 2018-12-05 (69.8 mm).<br> <br>Tag K2516. At liberty for 175 days before being caught again on 2018-12-05 (67.4 mm).<br> <br>Tag 198643. A Male lobster, first caught on 2018-12-05 (64.8 mm)."
"195396",-29.34457437,114.8747666,69.8,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191776. At liberty for 112 days before being caught again on 2018-12-05 (59.6 mm).<br> <br>Tag 195028. At liberty for 174 days before being caught again on 2018-12-05 (66.1 mm).<br> <br>Tag 195110. At liberty for 174 days before being caught again on 2018-12-05 (63.5 mm).<br> <br>Tag 195132. At liberty for 80 days before being caught again on 2018-12-05 (64.8 mm).<br> <br>Tag 195145. At liberty for 174 days before being caught again on 2018-12-05 (67.2 mm).<br> <br>Tag 195380. At liberty for 154 days before being caught again on 2018-12-05 (72.4 mm).<br> <br>Tag 195396. At liberty for 154 days before being caught again on 2018-12-05 (69.8 mm).<br> <br>Tag K2516. At liberty for 175 days before being caught again on 2018-12-05 (67.4 mm).<br> <br>Tag 198643. A Male lobster, first caught on 2018-12-05 (64.8 mm)."
"K2516",-29.34457437,114.8747666,67.4,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191776. At liberty for 112 days before being caught again on 2018-12-05 (59.6 mm).<br> <br>Tag 195028. At liberty for 174 days before being caught again on 2018-12-05 (66.1 mm).<br> <br>Tag 195110. At liberty for 174 days before being caught again on 2018-12-05 (63.5 mm).<br> <br>Tag 195132. At liberty for 80 days before being caught again on 2018-12-05 (64.8 mm).<br> <br>Tag 195145. At liberty for 174 days before being caught again on 2018-12-05 (67.2 mm).<br> <br>Tag 195380. At liberty for 154 days before being caught again on 2018-12-05 (72.4 mm).<br> <br>Tag 195396. At liberty for 154 days before being caught again on 2018-12-05 (69.8 mm).<br> <br>Tag K2516. At liberty for 175 days before being caught again on 2018-12-05 (67.4 mm).<br> <br>Tag 198643. A Male lobster, first caught on 2018-12-05 (64.8 mm)."
"198643",-29.34457437,114.8747666,64.8,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag 191776. At liberty for 112 days before being caught again on 2018-12-05 (59.6 mm).<br> <br>Tag 195028. At liberty for 174 days before being caught again on 2018-12-05 (66.1 mm).<br> <br>Tag 195110. At liberty for 174 days before being caught again on 2018-12-05 (63.5 mm).<br> <br>Tag 195132. At liberty for 80 days before being caught again on 2018-12-05 (64.8 mm).<br> <br>Tag 195145. At liberty for 174 days before being caught again on 2018-12-05 (67.2 mm).<br> <br>Tag 195380. At liberty for 154 days before being caught again on 2018-12-05 (72.4 mm).<br> <br>Tag 195396. At liberty for 154 days before being caught again on 2018-12-05 (69.8 mm).<br> <br>Tag K2516. At liberty for 175 days before being caught again on 2018-12-05 (67.4 mm).<br> <br>Tag 198643. A Male lobster, first caught on 2018-12-05 (64.8 mm)."
"K2682",-29.34457,114.87422,68.6,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K2682. At liberty for 20 days before being caught again on 2018-07-04 (68.6 mm).<br> <br>Tag K2859. A Female lobster, first caught on 2018-07-04 (65.4 mm).<br> <br>Tag K2949. A Male lobster, first caught on 2018-07-04 (67.4 mm).<br> <br>Tag K2948. A Female lobster, first caught on 2018-07-04 (83.2 mm).<br> <br>Tag 195359. A Male lobster, first caught on 2018-07-04 (46.2 mm)."
"K2859",-29.34457,114.87422,65.4,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2682. At liberty for 20 days before being caught again on 2018-07-04 (68.6 mm).<br> <br>Tag K2859. A Female lobster, first caught on 2018-07-04 (65.4 mm).<br> <br>Tag K2949. A Male lobster, first caught on 2018-07-04 (67.4 mm).<br> <br>Tag K2948. A Female lobster, first caught on 2018-07-04 (83.2 mm).<br> <br>Tag 195359. A Male lobster, first caught on 2018-07-04 (46.2 mm)."
"K2949",-29.34457,114.87422,67.4,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K2682. At liberty for 20 days before being caught again on 2018-07-04 (68.6 mm).<br> <br>Tag K2859. A Female lobster, first caught on 2018-07-04 (65.4 mm).<br> <br>Tag K2949. A Male lobster, first caught on 2018-07-04 (67.4 mm).<br> <br>Tag K2948. A Female lobster, first caught on 2018-07-04 (83.2 mm).<br> <br>Tag 195359. A Male lobster, first caught on 2018-07-04 (46.2 mm)."
"K2948",-29.34457,114.87422,83.2,"Legal","Legal","Legal","Irwin Reef","Female","Tag K2682. At liberty for 20 days before being caught again on 2018-07-04 (68.6 mm).<br> <br>Tag K2859. A Female lobster, first caught on 2018-07-04 (65.4 mm).<br> <br>Tag K2949. A Male lobster, first caught on 2018-07-04 (67.4 mm).<br> <br>Tag K2948. A Female lobster, first caught on 2018-07-04 (83.2 mm).<br> <br>Tag 195359. A Male lobster, first caught on 2018-07-04 (46.2 mm)."
"195359",-29.34457,114.87422,46.2,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K2682. At liberty for 20 days before being caught again on 2018-07-04 (68.6 mm).<br> <br>Tag K2859. A Female lobster, first caught on 2018-07-04 (65.4 mm).<br> <br>Tag K2949. A Male lobster, first caught on 2018-07-04 (67.4 mm).<br> <br>Tag K2948. A Female lobster, first caught on 2018-07-04 (83.2 mm).<br> <br>Tag 195359. A Male lobster, first caught on 2018-07-04 (46.2 mm)."
"K2539",-29.34456167,114.8733933,80.5,"Legal","Legal","Legal","Irwin Reef","Female","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"191706",-29.34456167,114.8733933,61.6,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"191709",-29.34456167,114.8733933,64.2,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"191710",-29.34456167,114.8733933,62.6,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"K2536",-29.34456167,114.8733933,71.5,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"191712",-29.34456167,114.8733933,54.2,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"191714",-29.34456167,114.8733933,66.8,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"191718",-29.34456167,114.8733933,63.8,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"K2534",-29.34456167,114.8733933,65.5,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"K2533",-29.34456167,114.8733933,66.7,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Female","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"191719",-29.34456167,114.8733933,60.1,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
"191721",-29.34456167,114.8733933,59.1,"Sub-legal","Sub-legal","Sub-legal","Irwin Reef","Male","Tag K2539. A Female lobster, first caught on 2018-06-13 (80.5 mm).<br> <br>Tag 191706. A Female lobster, first caught on 2018-06-13 (61.6 mm).<br> <br>Tag 191709. A Female lobster, first caught on 2018-06-13 (64.2 mm).<br> <br>Tag 191710. A Male lobster, first caught on 2018-06-13 (62.6 mm).<br> <br>Tag K2536. A Female lobster, first caught on 2018-06-13 (71.5 mm).<br> <br>Tag 191712. A Female lobster, first caught on 2018-06-13 (54.2 mm).<br> <br>Tag 191714. A Male lobster, first caught on 2018-06-13 (66.8 mm).<br> <br>Tag 191718. A Female lobster, first caught on 2018-06-13 (63.8 mm).<br> <br>Tag K2534. A Female lobster, first caught on 2018-06-13 (65.5 mm).<br> <br>Tag K2533. A Female lobster, first caught on 2018-06-13 (66.7 mm).<br> <br>Tag 191719. A Male lobster, first caught on 2018-06-13 (60.1 mm).<br> <br>Tag 191721. A Male lobster, first caught on 2018-06-13 (59.1 mm)."
